ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Area flooded,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),Losses (2020 euro),Cause,Notes,References,Changes
466,IT,1900,Italy,9/27/1900,9/30/1900,River,Bormida di Millesimo,ITC32,ITC32,,10,,,,,Heavy rainfall,,CNR (2023),
128,FR,1900,France,9/29/1900,9/29/1900,Flash,,FR622;FR712;FR715;FR812;FR813;FR814;FR826,FRJ22;FRK22;FRK25;FRJ12;FRJ13;FRJ14;FRL06,,30,,,,,Extreme rainfall up to 950 mm in 10 h,,Meteo France (2022); Wikipedia (2017w),
1222,ES,1901,Spain,9/21/1901,9/21/1901,Flash,,ES511,ES511,,1,,,,,Extreme rainfall,,UNDRR (2022),
2156,IT,1901,Italy,10/23/1901,10/23/1901,Coastal,Ligurian Sea,ITC34,ITC34,,0,,150000,ITL,1037709,Storm surge,,CNR (2023); Garnier et al. (2018),New
2118,DE,1902,Germany,6/16/1902,6/28/1902,River,Odra,PL227;PL522,PL227;PL524,250,0,800,,,,Heavy rainfall up to 515 mm in 11 days; 3 flood waves,,Czaja (2011); Adynkiewicz-Piragas et al. (2021),New
467,IT,1902,Italy,9/1/1902,9/1/1902,Flash,,ITF34,ITF34,,1,,,,,Extreme rainfall,,CNR (2023),
468,IT,1902,Italy,9/26/1902,9/26/1902,Flash,Irminio; Pozzo di Pruna,ITG18,ITG18,,112,,,,,Extreme rainfall up to 395 mm in few hours,,Polaris (2014); Wikipedia (2023b); Regione Siciliana (2021); CNR (2023),
1477,UK,1903,United Kingdom,1/28/1903,1/28/1903,River,Ribble,UKD43,UKD45,,1,,,,,Heavy rainfall,,University of Dundee (2017),
1478,UK,1903,United Kingdom,2/9/1903,2/9/1903,River,Clyde,UKM34,UKM82,,1,,,,,Heavy rainfall,,EIONET (2016); University of Dundee (2017),
287,DE,1903,Germany,7/9/1903,7/27/1903,River,Odra; Warta; Bóbr; Nysa K?odzka,PL227;PL431;PL432;PL514;PL515;PL516;PL517;PL518;PL521;PL522,PL227;PL431;PL432;PL514;PL515;PL516;PL517;PL518;PL523;PL524,900,5,,21500000,DEP,170481699,Heavy rainfall up to 400 mm in 48 h,,Bednarczyk et al. (2006); Undine (2022); Riegert (2012),Updated
2083,CZ,1903,Czechia,7/10/1903,7/11/1903,Flash,Odra,CZ071;CZ080,CZ071;CZ080,,6,,,,,Extreme rainfall up to 221 mm,,Brazdil (2005),New
1031,PL,1903,Poland,7/12/1903,7/14/1903,River,Wis?a; Skawa; Kamienna; So?a; Skawa; Raba; Dunajec,PL213;PL214;PL215;PL216;PL217;PL331;PL332,PL213;PL214;PL217;PL218;PL219;PL21A;PL721;PL722,3000,,60000,30000000,ATK,103942091,Heavy rainfall 7-11 July up to 128 mm/day,,KZGW (2011); RZGW w Krakowie (2016); Wikipedia (2017a),
469,IT,1903,Italy,10/31/1903,10/31/1903,Flash,Biois-Tegosa,ITH35,ITH35,,4,,,,,Extreme rainfall,,CNR (2023),
2399,FR,1904,France,2/2/1904,2/3/1904,Coastal,English Channel; Bay of Biscay,FR522;FR524,FRH02;FRH04,,3,1200,,,,Storm surge,Also windstorm damage,Meteo France (2023),New
1067,PT,1904,Portugal,2/9/1904,2/10/1904,Flash,,PT112;PT114;PT161,PT112;PT11A;PT16D,,30,,,,,Extreme rainfall,Also landslides,Zezere et al. (2014); Pereira (2017),Updated
1479,UK,1905,United Kingdom,6/25/1905,6/25/1905,River,Ness,UKM63,UKM63,,1,,,,,Heavy rainfall,,University of Dundee (2017),
470,IT,1905,Italy,9/23/1905,9/23/1905,Flash,Chiusi,ITI43,ITI43,,2,,,,,Extreme rainfall,,CNR (2023),
25,BE,1906,Belgium,3/12/1906,3/12/1906,Coastal,North Sea; Scheldt river,BE211;BE212;BE232,BE211;BE212;BE232,40,3,4000,,,,"Storm surge due to northerly winds, force 8-9",,Lamb (1991); Wikipedia (2017m),Corrected
1014,NL,1906,Netherlands,3/12/1906,3/12/1906,Coastal,North Sea; Scheldt,NL341,NL341,22,0,,,,,"Storm surge due to northerly winds, force 8-9",,Lamb (1991); de Kraker (2006),
26,BE,1906,Belgium,5/14/1906,5/14/1906,Flash,,BE242,BE242,,6,,,,,Extreme rainfall up to 200 mm in 5 h,Also hailstorm,CRED (2023); La météo (2023); Belgorage (2023),Updated
471,IT,1906,Italy,6/24/1906,6/25/1906,Flash,Adige,ITG27;ITG2A;ITH31,ITG2E;ITG2F;ITH31,,2,500,,,,Extreme rainfall,,CNR (2023),Corrected
1223,ES,1906,Spain,9/25/1906,9/25/1906,Flash,Rambla Salada,ES620,ES620,,24,1200,,,,Extreme rainfall,,Confederación Hidrográfica del Segura (2017); UNDRR (2022),
472,IT,1906,Italy,10/30/1906,11/10/1906,River,Adige; Berlino; Foce,ITC33;ITH20;ITH31,ITC33;ITH20;ITH31,,4,,,,,Heavy rainfall,ITH20 in Austria-Hungary at the time,CNR (2023),
129,FR,1906,France,12/13/1906,12/17/1906,River,,FR621,FRJ21,,9,1800,,,,Heavy rainfall,,DGPR (2022),
362,EL,1907,Greece,7/5/1907,7/5/1907,Flash,Litheos,EL144,EL611,,100,6000,,,,Extreme rainfall,,Meteoclub (2017),
4,AT,1907,Austria,7/17/1907,7/17/1907,River,Donau,AT130,AT130,,0,264,,,,Heavy rainfall,,Hohensinner (2020),
1224,ES,1907,Spain,9/23/1907,9/24/1907,Flash,Guadalmedina,ES617,ES617,,21,,5500000,ESP,26623300,Extreme rainfall,,Wikipedia (2017zr); UNDRR (2022),
130,FR,1907,France,9/25/1907,10/17/1907,River,Ouvéze; Cèze; Gardon,FR712;FR812;FR813;FR814,FRK22;FRJ12;FRJ13;FRJ14,,25,,,,,Heavy rainfall up to 1395 mm in 3 weeks,,Meteo France (2022); Wikipedia (2017w); AERMC (2011),
131,FR,1907,France,10/1/1907,10/31/1907,River,Cruzini; Vecchio,FR831,FRM01,,3,,,,,Heavy rainfall,,DREAL Corse (2019),
473,IT,1907,Italy,10/18/1907,10/18/1907,Flash,Lake Maggiore,ITC14;ITC15;ITC41,ITC14;ITC15;ITC41,,2,,,,,Extreme rainfall,,CNR (2023),
1225,ES,1907,Spain,10/20/1907,10/22/1907,Flash,Segre,ES513;ES514,ES513;ES514,,3,2000,,,,Extreme rainfall,,Barriendos and Rodrigo (2006); Ruiz-Bellet et al. (2017),
1226,ES,1907,Spain,10/22/1907,10/22/1907,Flash,,ES513;ES514,ES513;ES514,,32,,,,,Extreme rainfall,,UNDRR (2022),
474,IT,1907,Italy,10/27/1907,11/3/1907,River,Cato; Brenta,ITH36,ITH36,,1,,1500000,ITL,9318356,Heavy rainfall,,CNR (2023),
